pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_pubdate
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,,,,,2011-08
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03000000,0.32000000,-0.32000000,0,2008-01
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21000000,0.06000000,-0.05000000,0,2023-08
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,3.20000000,-3.20000000,0,2017-03
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,,,,2011-08
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22000000,3.25000000,-3.25000000,0,2009-10
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76000000,0.11000000,-0.12000000,0,2023-08
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,2011-08
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,0.23000000,-0.23000000,0,2008-12
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40000000,2.50000000,-2.50000000,0,2007-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.00000000,,,0,2008-04
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.03890000,1.67709000,-1.87256000,0,2022-09
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,2.50000000,-2.50000000,0,2017-03
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.40000000,8.30000000,-8.30000000,0,2004-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41000000,0.67000000,-0.68000000,0,2021-07
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724.00000000,50.00000000,-50.00000000,0,2003-01
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,,,,,2006-07
HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,25000.00000000,24000.00000000,-9200.00000000,0,2021-07
HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Observatories,15732.45889000,2654.17497000,-1896.09685000,0,2022-09
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.45000000,0.15000000,-0.15000000,0,2021-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,2006-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,800.80000000,11.70000000,-11.70000000,0,1997-07
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,2007-09
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.50000000,0.60000000,-0.60000000,0,2007-01
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.50000000,1.00000000,-1.00000000,0,2017-03
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38000000,2.01000000,-2.09000000,0,2020-12
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,3.20000000,-3.20000000,0,2008-06
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85000000,1.06000000,-0.92000000,0,2023-08
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,2011-08
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2015-03
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2015-03
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2010-08
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,,,,2008-12
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33000000,0.00000000,-0.01000000,0,2023-08
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,0.00780000,-0.00770000,0,2018-08
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.80000000,2.10000000,-4.50000000,0,2011-01
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883.00000000,32.40000000,-13.80000000,0,2011-01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,,,,2013-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,2015-05
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,,,2013-09
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,,2015-06
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,,,,2021-10
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,,,,2010-05
